StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,freq,know,freq2,deterministic_1,deterministic_2,deterministic_3,deterministic_4,deterministic_5,deterministic_6,deterministic_7,deterministic_8,probabilistic_1,probabilistic_2,probabilistic_3,probabilistic_4,probabilistic_5,probabilistic_6,probabilistic_7,probabilistic_8,hover,PROLIFIC_PID,STUDY_ID,SESSION_ID,condition
2023-06-24 22:58:28,2023-06-24 22:59:53,0,45.50.138.116,100,84,1,2023-06-24 22:59:53,R_3prubuKMrr2X7TB,,,,,34.0282,-117.0372,anonymous,EN,1,4,1,5,5,5,5,5,4,4,5,,,,,,,,,1,5fc980607802411830ff5498,6497af9b5812d44d19ee6a07,6497c96de06bc6c16e5f4e14,deterministic
2023-06-24 23:01:56,2023-06-24 23:03:18,0,73.54.157.162,100,81,1,2023-06-24 23:03:19,R_1nTsVz76cQ1LjZG,,,,,33.7173,-84.4783,anonymous,EN,2,1,4,4,4,4,4,4,4,2,2,,,,,,,,,4,64776397ae01ac90f5f614a9,6497af9b5812d44d19ee6a07,6497ca3f3845759916fdff5c,deterministic
2023-06-24 23:01:31,2023-06-24 23:03:40,0,75.71.147.47,100,128,1,2023-06-24 23:03:40,R_1dAkjOc9AtUGG4V,,,,,40.0142,-105.2853,anonymous,EN,3,1,2,4,4,4,4,4,3,3,3,,,,,,,,,2,5f07d88a3c105f01df6fae40,6497af9b5812d44d19ee6a07,6497ca233662d311d86c602c,deterministic
2023-06-24 23:02:19,2023-06-24 23:05:37,0,73.109.40.127,100,198,1,2023-06-24 23:05:38,R_24bWv4yslE5wAlT,,,,,47.024,-122.7827,anonymous,EN,3,1,5,,,,,,,,,3,1,1,1,2,1,2,1,5,64410827edd51619ec01d945,6497af9b5812d44d19ee6a07,6497ca4afd6cebd8279562af,probabilistic
2023-06-24 23:01:19,2023-06-24 23:05:46,0,75.72.192.155,100,267,1,2023-06-24 23:05:47,R_3kAsctQx2BjRXqA,,,,,44.9402,-93.2188,anonymous,EN,3,3,4,,,,,,,,,4,4,4,2,4,4,2,2,5,644e80f65a5c0e0d2f9a433b,6497af9b5812d44d19ee6a07,6497c9edeb36c213756db9d0,probabilistic
2023-06-24 23:03:57,2023-06-24 23:05:58,0,70.187.141.166,100,121,1,2023-06-24 23:05:59,R_3r212bHWdhwhp51,,,,,33.7671,-118.3814,anonymous,EN,4,3,5,4,4,4,4,4,4,2,2,,,,,,,,,5,647fe69be349b78b571ecedd,6497af9b5812d44d19ee6a07,6497cab3be6c7d12d54227d4,deterministic
2023-06-24 23:05:25,2023-06-24 23:07:03,0,216.254.251.102,100,98,1,2023-06-24 23:07:04,R_5am1FicIlrMbcjL,,,,,42.8822,-97.3906,anonymous,EN,1,1,3,5,5,5,5,5,5,5,5,,,,,,,,,4,5f40ba52bb802e1f200d0e0c,6497af9b5812d44d19ee6a07,6497cb0e7e521d899d499815,deterministic
2023-06-24 23:04:23,2023-06-24 23:07:37,0,71.47.100.231,100,193,1,2023-06-24 23:07:38,R_1EYyHkIaNVu9yTS,,,,,28.1885,-81.2695,anonymous,EN,4,4,4,,,,,,,,,1,1,3,1,1,3,5,3,6,646ff124ef129159bf5f08f7,6497af9b5812d44d19ee6a07,6497cad061480f98735514de,probabilistic
2023-06-24 23:06:17,2023-06-24 23:07:56,0,162.227.44.246,100,98,1,2023-06-24 23:07:57,R_3rM937WMNrwkCYt,,,,,35.4971,-97.733,anonymous,EN,1,2,5,5,4,3,4,4,5,2,2,,,,,,,,,6,647e00af96651278d30d298a,6497af9b5812d44d19ee6a07,6497cb41b99da43f22c280ad,deterministic
2023-06-24 23:06:57,2023-06-24 23:08:52,0,98.113.117.45,100,115,1,2023-06-24 23:08:53,R_2pQOvha3Qw9e7xu,,,,,40.8453,-73.2916,anonymous,EN,1,3,2,,,,,,,,,3,2,1,1,2,2,3,2,2,611004bb14ee1de34195cb04,6497af9b5812d44d19ee6a07,6497cb69b03db107fa31966d,probabilistic
2023-06-24 23:05:18,2023-06-24 23:11:56,0,73.216.145.162,100,398,1,2023-06-24 23:11:57,R_C4FCES0ewTGXl5f,,,,,36.6817,-77.5565,anonymous,EN,2,1,4,,,,,,,,,3,1,1,1,1,1,3,1,4,63db49b4969069441bc68182,6497af9b5812d44d19ee6a07,6497cb063632328fd40cb4a8,probabilistic
2023-06-24 22:19:54,2023-06-25 00:06:46,0,68.108.142.64,100,6412,1,2023-06-25 00:06:47,R_3J8mGvLfU5OrFjf,,,,,36.218,-115.1709,anonymous,EN,2,4,3,3,3,3,3,3,3,3,3,,,,,,,,,4,64013c205363ca19db78ed9f,6497af9b5812d44d19ee6a07,6497c065d63a190ab059c39e,deterministic
